"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"CONN_02";"1X02";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"";"CR123-BATTERYHOLDER";"CR123_BATTERYHOLDER";"U$1";"CR123 Lithium Battery Holder";"";
"2";"";"LED0805";"0805-LED";"D1, D2";"";"";
"1";"";"LED3MM";"LED3MM";"LED1";"LED";"";
"1";"";"M06SIP";"1X06";"SL3";"Header 6";"";
"1";"";"M06SMD-1MM";"1X06-1MM";"SL2";"Header 6";"";
"1";"-";"SWITCH-MOMENTARY-2-SMD-1101NE";"TACTILE-SWITCH-1101NE";"RESET";"";"";
"2";"0.1uF";"CAP0805-CAP";"0805-CAP";"C4, C5";"Capacitor";"";
"2";"100n";"CAP0805-CAP";"0805-CAP";"C1, C2";"Capacitor";"";
"1";"10k";"RESISTOR0805-RES";"0805-RES";"R2";"Resistor";"";
"1";"1M";"RESISTOR0805-RES";"0805-RES";"R6";"Resistor";"";
"3";"1k5";"RESISTOR0805-RES";"0805-RES";"R1, R3, R5";"Resistor";"";
"1";"470k";"RESISTOR0805-RES";"0805-RES";"R7";"Resistor";"";
"1";"4u7";"CAP0805-CAP";"0805-CAP";"C3";"Capacitor";"";
"1";"56k";"RESISTOR0805-RES";"0805-RES";"R4";"Resistor";"";
"1";"8MHZ";"RESONATORSMD";"RESONATOR-SMD";"U$3";"Resonator";"";
"1";"ATMEGA328P";"ATMEGA168/328TQFP32";"TQFP32-08";"IC1";"Atmel 32-pin 8-bit micro, 16k flash.";"";
"1";"NRF24L01+SMD";"NRF24L01+SMD_MODULE";"NRF24L01+SMD_MODULE";"RF1";"";"";
